-1.4648, 0.9766, 0.6409, -1.0024414063, -0.1243, 0.0981, 40.2000, 120.6000, 0.6000 
-1.6479, 1.0071, 0.7629, -1.0039062500, -0.1221, 0.0974, 36.0000, 120.0000, -0.6000 
-1.9226, 0.8545, 0.7935, -1.0014648438, -0.1211, 0.0938, 37.8000, 120.6000, 0.6000 
-2.3193, 0.6714, 0.7019, -0.9982910156, -0.1152, 0.0935, 36.0000, 121.8000, 0.0000 
-2.8076, 0.5798, 0.5188, -0.9946289063, -0.1135, 0.0930, 36.0000, 121.2000, -1.8000 
-3.4180, 0.2441, 0.3662, -0.9929199219, -0.1140, 0.0930, 36.6000, 120.6000, 0.6000 
-3.9978, 0.0916, 0.1526, -1.0014648438, -0.1177, 0.0933, 37.2000, 122.4000, -1.8000 
-4.4250, 0.0305, -0.1526, -1.0031738281, -0.1187, 0.0945, 38.4000, 120.6000, 0.0000 
-4.7913, -0.0916, -0.3357, -1.0070800781, -0.1213, 0.0947, 34.2000, 120.6000, 0.0000 
-5.0049, -0.3052, -0.3052, -1.0078125000, -0.1296, 0.0938, 36.0000, 121.8000, -1.2000 
-5.0659, -0.4578, -0.2441, -1.0058593750, -0.1340, 0.0952, 36.6000, 122.4000, -1.2000 
-5.0354, -0.4883, -0.1221, -1.0000000000, -0.1296, 0.0898, 37.2000, 121.2000, 0.6000 
-5.0964, -0.5188, 0.1526, -0.9956054688, -0.1323, 0.0857, 38.4000, 121.2000, 2.4000 
-5.1270, -0.5798, 0.3967, -0.9875488281, -0.1294, 0.0891, 37.8000, 120.6000, 2.4000 
-5.1880, -0.3967, 0.5493, -0.9863281250, -0.1250, 0.0881, 35.4000, 122.4000, 1.2000 
-5.3711, -0.4883, 0.6104, -0.9892578125, -0.1218, 0.0811, 36.0000, 123.0000, -1.2000 
-5.4016, -0.4272, 0.4578, -0.9973144531, -0.1216, 0.0813, 37.8000, 121.8000, 0.6000 
-5.2490, -0.3052, 0.4272, -1.0063476563, -0.1213, 0.0815, 34.2000, 120.6000, 2.4000 
-5.0049, -0.3967, 0.4578, -1.0102539063, -0.1238, 0.0862, 34.8000, 122.4000, 2.4000 
-4.6082, -0.4883, 0.7019, -1.0102539063, -0.1282, 0.0901, 36.6000, 122.4000, 1.2000 
-4.3030, -0.4883, 0.8545, -1.0048828125, -0.1353, 0.0898, 37.2000, 119.4000, 0.6000 
-4.0588, -0.6104, 0.9155, -1.0014648438, -0.1387, 0.0923, 36.6000, 121.2000, 2.4000 
-3.8147, -0.6104, 0.7019, -0.9997558594, -0.1426, 0.0938, 36.0000, 120.0000, 0.0000 
-3.3875, -0.9460, 0.2747, -0.9953613281, -0.1406, 0.0896, 36.6000, 120.0000, 1.2000 
-3.0212, -1.2817, -0.1221, -0.9921875000, -0.1338, 0.0872, 37.2000, 120.0000, 1.8000 
-2.8992, -1.2207, -0.2136, -0.9931640625, -0.1289, 0.0840, 37.2000, 122.4000, 0.6000 
-2.8687, -1.4343, -0.2136, -0.9997558594, -0.1243, 0.0801, 36.6000, 118.2000, 2.4000 
