0.72919,0.00000
1.45886,0.00000
2.18837,0.00000
2.91869,0.00000
3.64826,0.00000
4.39232,-0.03875
5.12216,-0.09331
5.84710,-0.26300
6.52539,-0.53107
7.20024,-0.85236
7.76535,-1.31316
8.34002,-1.78606
8.80730,-2.34679
9.27477,-2.92953
9.53382,-3.61180
9.78639,-4.31267
9.96250,-5.00465
10.03809,-5.73024
10.11218,-6.45655
9.95462,-7.16926
9.79386,-7.88147
9.44292,-8.52102
9.07232,-9.17040
8.62431,-9.72767
8.07731,-10.21099
7.50470,-10.66322
6.89045,-11.05624
6.27050,-11.44169
5.62435,-11.74994
4.90906,-11.89407
4.16498,-11.92732
3.63302,-11.93355
2.90407,-11.90478
2.19428,-11.73412
1.48485,-11.56220
0.77707,-11.37648
0.06983,-11.14508
-0.58268,-10.81847
-1.21470,-10.42573
-1.75259,-9.93290
-2.24871,-9.37785
-2.67256,-8.78239
-3.04488,-8.13709
-3.34196,-7.47074
-3.56841,-6.76143
-3.71884,-6.25068
-3.86412,-5.52099
-3.88537,-4.79235
-3.84062,-4.05013
-3.70155,-3.33385
-3.54372,-2.60627
-3.20988,-1.95793
-2.80488,-1.33390
-2.30964,-0.79822
-1.78561,-0.26596
-1.21693,0.16543
-0.58871,0.53702
0.07709,0.86984
0.74941,1.15209
1.45814,1.37748
2.17853,1.49443
2.91388,1.60638
3.64347,1.58993
4.36785,1.50220
5.07140,1.30904
5.73191,0.96470
6.19922,0.71122
6.77585,0.24089
7.29662,-0.26981
7.81108,-0.78831
8.18543,-1.41450
8.50035,-2.08902
8.70340,-2.58069
8.88301,-3.30271
8.93948,-4.03017
8.88019,-4.75873
8.81966,-5.28722
8.62973,-6.00648
8.36194,-6.66963
7.94672,-7.26990
7.45381,-7.82692
6.91714,-8.32090
6.31116,-8.75396
5.66163,-9.08612
4.94305,-9.27946
4.23249,-9.44557
3.52057,-9.60594
2.79223,-9.65060
2.07635,-9.66805
1.35576,-9.55466
0.67723,-9.24671
0.04766,-8.87765
-0.59176,-8.49023
-1.12955,-7.99729
-1.57840,-7.40349
-1.84914,-6.72567
-1.80928,-5.99692
-1.61709,-5.27655
-1.32752,-4.60703
-1.02284,-3.92797
-0.78866,-3.41465
-0.36494,-2.82066
0.11262,-2.24990
0.71742,-1.84127
1.35043,-1.44951
1.98658,-1.12652
2.65853,-0.84386
3.34635,-0.55796
4.04082,-0.39415
4.77011,-0.36952
5.50043,-0.34941
6.22819,-0.41652
6.94494,-0.61629
7.61059,-0.91436
8.28668,-1.22574
8.89288,-1.60314
9.45596,-2.06760
9.99452,-2.58249
10.37436,-2.95473
10.73720,-3.60440
10.92282,-4.32529
11.01211,-5.04968
11.08801,-5.79301
11.03756,-6.50487
10.90646,-7.22284
10.67219,-7.92894
10.32660,-8.57164
9.96752,-9.22284
9.55902,-9.80875
9.09944,-10.37533
8.59571,-10.90317
8.00031,-11.32506
7.33531,-11.66117
6.64596,-11.89932
5.91731,-12.04896
5.18906,-12.00443
4.44403,-11.94788
3.78997,-11.62454
3.14907,-11.27506
2.51820,-10.90898
1.89011,-10.53685
1.26191,-10.16424
0.69820,-9.70081
0.14478,-9.22385
-0.32050,-8.68209
-0.73523,-8.08183
-1.15616,-7.46678
-1.47785,-6.81098
-1.68907,-6.11252
-1.89856,-5.39791
-2.00789,-4.69139
-2.07924,-3.96494
-2.07099,-3.25058
-2.02558,-2.50797
-1.86857,-1.79468
-1.63205,-1.08797
-1.27861,-0.44945
-0.90135,0.19352
-0.45798,0.75285
0.10739,1.23597
0.72785,1.61892
1.38041,1.97640
2.05206,2.26187
2.73733,2.46610
3.45451,2.66844
4.16393,2.75034
4.89251,2.71166
5.62409,2.57487
6.32624,2.37165
7.00781,2.11279
7.64871,1.79540
8.22358,1.34602
8.80367,0.87690
9.27260,0.33915
9.66665,-0.27485
10.04791,-0.91535
10.33937,-1.56817
10.55328,-2.26605
10.67243,-3.00048
10.71786,-3.72831
10.64420,-4.46911
10.43976,-5.16957
10.21780,-5.88046
9.96339,-6.54728
9.61897,-7.19044
9.18005,-7.79238
8.67800,-8.32137
8.10826,-8.80165
7.43217,-9.07567
6.71115,-9.27383
5.98949,-9.15844
5.30033,-8.91979
4.69006,-8.51972
4.18368,-7.99417
3.67241,-7.45247
3.36148,-6.79218
3.06362,-6.11068
2.98056,-5.38574
2.90985,-4.64542
2.85812,-3.93312
2.87079,-3.20347
2.93614,-2.46246
3.15474,-1.76632
3.37919,-1.05684
3.83787,-0.48932
4.32548,0.07436
4.88168,0.54615
5.46441,0.95858
6.08103,1.37606
6.72601,1.68204
7.40421,1.95153
8.12935,2.11600
8.85188,2.21727
9.59736,2.20383
10.31690,2.08281
11.05176,1.94827
11.74794,1.78963
12.42876,1.52755
13.12291,1.25022
13.75883,0.92177
14.38836,0.55257
14.99485,0.12124
15.51827,-0.36399
15.89741,-0.73780
16.31681,-1.35293
16.57819,-2.03390
16.84199,-2.73106
17.01130,-3.42697
17.08179,-4.15329
17.04332,-4.89797
16.92407,-5.61894
16.78840,-6.35185
16.47786,-7.01167
16.15782,-7.68380
15.74470,-8.28525
15.31879,-8.89564
14.87613,-9.45809
14.32629,-9.93810
13.74697,-10.40910
13.08196,-10.66942
12.35395,-10.72024
11.64872,-10.53271
10.98498,-10.22911
10.38630,-9.78682
9.92088,-9.22450
9.55274,-8.57792
9.30592,-7.88996
9.06334,-7.18552
8.98217,-6.46043
8.91015,-5.71904
8.89259,-5.00475
8.97591,-4.27957
9.14177,-3.55290
9.44791,-2.89048
9.78379,-2.22691
10.28369,-1.69522
10.80746,-1.16586
11.37155,-0.72681
12.00682,-0.36835
12.69988,-0.09383
13.40385,0.09804
14.12980,0.27505
